number,value,datetime_start,datetime_complete,duration,params_beta,params_delta,params_phi,params_sigma_v,params_sigma_w,system_attrs_fixed_params,state
76,0.631917004993994,2026-03-28 14:58:12.382100,2026-03-28 14:58:12.618314,0 days 00:00:00.236214,0.05503943004746789,0.22174079931322643,0.9933740506749027,1.1730454651321685,0.04477006695318873,,COMPLETE
77,0.6817061977096818,2026-03-28 14:58:12.618354,2026-03-28 14:58:12.845273,0 days 00:00:00.226919,0.05500144178175388,0.21539556154947234,0.9789939801105444,1.1329452665921416,0.04583136115200269,,COMPLETE
78,1.1051966099944228,2026-03-28 14:58:12.845312,2026-03-28 14:58:13.068790,0 days 00:00:00.223478,0.06310910790880649,0.11716977789994701,0.9528949303056669,1.1881267094614472,0.03459615936875885,,COMPLETE
79,0.6602244099043784,2026-03-28 14:58:13.068829,2026-03-28 14:58:13.286911,0 days 00:00:00.218082,0.046677071388107824,0.22664694256269927,0.9918615295891053,0.9723793641049937,0.019010594013065697,,COMPLETE
80,0.6376864843838144,2026-03-28 14:58:13.286950,2026-03-28 14:58:13.504971,0 days 00:00:00.218021,0.06617118257451374,0.1474812334046784,0.997186251922071,0.6585865937435456,0.029574206367255593,,COMPLETE
81,0.6321653065897086,2026-03-28 14:58:13.505011,2026-03-28 14:58:13.725655,0 days 00:00:00.220644,0.054084604576150275,0.18712570335455275,0.994589616484456,1.3130697652133765,0.04875159677935429,,COMPLETE
82,0.6383435076237753,2026-03-28 14:58:13.725693,2026-03-28 14:58:13.951586,0 days 00:00:00.225893,0.05298476010911356,0.18851111248837465,0.9903532321818793,1.2364881991449208,0.04014142224342,,COMPLETE
83,0.6316860601219958,2026-03-28 14:58:13.951625,2026-03-28 14:58:14.173910,0 days 00:00:00.222285,0.04000695054948391,0.16009665127043546,0.9933263577159815,1.4224979384092888,0.052640226226090436,,COMPLETE
84,0.6323428779661484,2026-03-28 14:58:14.173948,2026-03-28 14:58:14.399157,0 days 00:00:00.225209,0.03893316240724544,0.13071863912758255,0.9945608215330239,1.4405383064953603,0.049379196589180954,,COMPLETE
85,0.6318268979810613,2026-03-28 14:58:14.399197,2026-03-28 14:58:14.624510,0 days 00:00:00.225313,0.03923380812532269,0.1614525203527729,0.9940584594590095,1.438348462574035,0.04987322423737103,,COMPLETE
86,0.6318217583515862,2026-03-28 14:58:14.624548,2026-03-28 14:58:14.848747,0 days 00:00:00.224199,0.03789882105403961,0.15786042296091643,0.9936106761512072,1.4396236389489272,0.04942020343390309,,COMPLETE
87,0.6375054327298346,2026-03-28 14:58:14.848786,2026-03-28 14:58:15.070609,0 days 00:00:00.221823,0.0305615269220834,0.16111274048978827,0.9978590613919402,1.470230965941933,0.04969031712218218,,COMPLETE
88,1.2770826208872728,2026-03-28 14:58:15.070648,2026-03-28 14:58:15.291090,0 days 00:00:00.220442,0.04239205788058247,0.10306135726496157,0.9282119915713618,1.4236240034266312,0.04261489478966971,,COMPLETE
89,0.6322900328979583,2026-03-28 14:58:15.291128,2026-03-28 14:58:15.515224,0 days 00:00:00.224096,0.0369731960602464,0.1369302154448038,0.9944621154047788,1.3809228618727198,0.05006444484779964,,COMPLETE
90,0.6324808358390879,2026-03-28 14:58:15.515264,2026-03-28 14:58:15.740285,0 days 00:00:00.225021,0.03577891897403746,0.13888362594818,0.9943645348526438,1.381508301911423,0.05554400419791938,,COMPLETE
91,0.632165582703513,2026-03-28 14:58:15.740323,2026-03-28 14:58:15.962350,0 days 00:00:00.222027,0.025218417153343515,0.13002880058788707,0.9934965241342952,1.4040360242381953,0.04934169189842337,,COMPLETE
92,0.6329122016399099,2026-03-28 14:58:15.962389,2026-03-28 14:58:16.182700,0 days 00:00:00.220311,0.022499998370196388,0.1308114172465906,0.9947121307982006,1.380557946451418,0.05592927000506888,,COMPLETE
93,0.6454365109094646,2026-03-28 14:58:16.182739,2026-03-28 14:58:16.407842,0 days 00:00:00.225103,0.03333296635927878,0.0638495988242273,0.9998319165911207,1.4350219927973464,0.04862455819506034,,COMPLETE
94,0.6501810892287947,2026-03-28 14:58:16.407883,2026-03-28 14:58:16.655724,0 days 00:00:00.247841,0.028079788071519302,0.03370090081140342,0.9863054989800387,1.2877625566185507,0.05047178366097024,,COMPLETE
95,0.6358431480633704,2026-03-28 14:58:16.655768,2026-03-28 14:58:16.881200,0 days 00:00:00.225432,0.039078742537076605,0.1594703956544125,0.9972143029118675,1.3742034017499896,0.04596989827000097,,COMPLETE
96,0.6320470055034826,2026-03-28 14:58:16.881239,2026-03-28 14:58:17.102032,0 days 00:00:00.220793,0.035852760763952274,0.14075454614486482,0.9937642087360598,1.4976993893298738,0.061662707839961375,,COMPLETE
