trial,lambda_main,lambda_cross,home_adv,squash_scale,mean_mae,std_mae
43,0.030046494788970358,0.6226697821124819,0.09926269037260083,7.619300844399506,1.3275370281144034,0.056272099364827875
71,0.033342111554385497,0.5539337684040004,0.1304215441808676,1.2706460116710634,1.3276911325074114,0.06009435371939057
118,0.06367857632313836,0.8850536850466235,0.2148841293223051,1.665450230949025,1.3277071887027856,0.056149243656925994
132,0.06756835571295614,0.9161158565118378,0.21030385533043616,1.4784612040722331,1.3277958484571606,0.055797772190263155
79,0.024745151773670315,0.6401524275004407,0.08763993455905776,7.2949967354901455,1.327803861963439,0.05684457186280305
150,0.019768917336314324,0.9083128887578505,0.2451531377564101,1.6960043531352182,1.3278276511080291,0.06222806937007801
176,0.018055780307548217,0.9481936423785555,0.19942251190007879,1.8712494330276228,1.3279457047370122,0.06137907381140753
12,0.018142378867019325,0.4263987124796075,0.23325337688148515,5.650774865817671,1.327954956273184,0.06132948803182879
98,0.04041747353542385,0.7835611843232126,0.18149981854110558,7.730246210581099,1.3283444761255196,0.05698717948962851
128,0.1063295480979877,0.944577293935825,0.25434701107204616,0.7338979546473106,1.3283534918973707,0.05564819820373404
154,0.0215152408045794,0.9512026385864085,0.18577447758165394,1.3863453292282948,1.3284805451020614,0.061395237289739606
109,0.025429631391098557,0.9370528181582187,0.25881828159388764,1.1008259068867663,1.3289047802145144,0.06267238130964102
100,0.0591888720369906,0.8053098302646202,0.3308284973244956,1.5943268925514378,1.3290573248752013,0.05868288496110729
76,0.09207891913034845,0.7606720413436974,0.1098539826492942,0.8921273705847896,1.3292108488645518,0.05488251387842221
33,0.027574221123522223,0.7475081637837901,0.06994406637833633,7.575095650299688,1.3292959227980545,0.056670033566279504
131,0.06869563242848098,0.9386177536765948,0.3158437495981189,1.2944722003014837,1.329468305361824,0.05706660602039729
93,0.0353750941351029,0.9835911622781905,0.12765548421173306,6.430478987278104,1.3294735956754233,0.05713290440819039
130,0.07876126710449385,0.984995174613533,0.2673787591853726,1.1751740283298753,1.3295178082794734,0.05572369116754851
90,0.046220917135075576,0.49210885361790313,0.19663748530039238,0.7440448798026189,1.3296470454858813,0.06217896573168294
37,0.03169176486744396,0.7448793682814331,0.06741847323348082,5.111708116892908,1.3296712512509643,0.056323459167739016
42,0.035223127175621025,0.7720141259650911,0.08784888257190608,7.004426417628063,1.3298676573360104,0.05631454206245495
78,0.06048681403434231,0.7912149644599722,0.13285614061119821,2.1586383780704868,1.3304209744064046,0.05596086738898588
121,0.08011211839288374,0.8534776496802668,0.19130783711865712,1.462386277395968,1.3308294169003856,0.055334105562699264
41,0.01947810806318748,0.7676151278909914,0.05087132237246533,7.614430987655577,1.331126978494027,0.05727715233744146
69,0.01517633642632948,0.8405532379287675,0.15594491594031093,2.249673042863458,1.3311931608179564,0.060892827530508266
184,0.014406735070943578,0.9410829402512136,0.19018553314530595,2.1212902763101167,1.3312508239588254,0.06167533659635223
66,0.04522103920779641,0.7405201554159552,0.05109813950274228,0.9022598540085001,1.3313095117319196,0.058199866638521794
122,0.047115325726702906,0.9214494813894946,0.24754352496434823,5.412442371048616,1.3313641008709085,0.05721945662869847
129,0.08990866596423985,0.9534733741205982,0.29299602061317626,1.0585592400046229,1.3313668586675649,0.05610169376243448
54,0.05138018044500827,0.5530196617614508,0.12443109807263361,0.5896854781652852,1.3317094932058353,0.06083521756028625
